Test Time: 2025-06-04 00:24:21
Number of cycles: 2
Start potential: 0.0 V
First inversion potential: 1.0 V
Second inversion potential: -1.0 V
Scan rate: 2.0 V/s
Resistor value: ±2.5uA
Capacitor value: 1e-07 F
Filename: debug_data.csv

Cycle 1
Voltage (V),Current (nA)
-0.0,451.77045177045176
0.0012494845876076118,586.080586080586
0.0024989691752152236,720.3907203907204
0.0037484537628228354,830.2808302808303
0.004997938350430447,952.3809523809524
0.0062474229380380586,1062.2710622710622
0.007496907525645671,1208.7912087912089
0.008746392113253282,1318.6813186813188
0.009995876700860894,1428.5714285714284
0.011245361288468507,1526.2515262515265
0.012494845876076117,1660.5616605616606
0.01374433046368373,1758.2417582417581
0.014993815051291342,1892.5518925518925
0.016243299638898954,1990.2319902319903
0.017492784226506564,2136.7521367521367
0.01874226881411418,2222.222222222222
0.01999175340172179,2356.5323565323565
0.0212412379893294,2454.212454212454
0.022490722576937013,2588.522588522589
0.023740207164544624,2722.8327228327225
0.024989691752152234,2857.142857142857
0.026239176339759848,2967.032967032967
0.02748866092736746,3125.763125763126
0.028738145514975073,3235.6532356532357
0.029987630102582683,3357.7533577533572
0.031237114690190294,3516.4835164835163
0.03248659927779791,3626.373626373626
0.03373608386540552,3760.6837606837607
0.03498556845301313,3870.5738705738704
0.03623505304062074,3992.6739926739933
0.03748453762822836,4151.404151404152
0.03873402221583597,4249.084249084249
0.03998350680344358,4346.764346764347
0.04123299139105119,4444.444444444444
0.0424824759786588,4578.754578754579
0.043731960566266416,4676.4346764346765
0.044981445153874026,4835.1648351648355
0.04623092974148164,4932.844932844933
0.04748041432908925,5067.155067155067
0.04872989891669686,5164.835164835165
0.04997938350430447,5299.145299145299
0.051228868091912086,5409.0354090354085
0.052478352679519696,5518.925518925519
0.05372783726712731,5665.445665445665
0.05497732185473492,5763.125763125763
0.05622680644234253,5897.4358974358975
0.057476291029950145,6056.166056166056
0.058725775617557756,6190.476190476191
0.059975260205165366,6263.736263736264
0.06122474479277298,6385.8363858363855
0.06247422938038059,6544.5665445665445
0.0637237139679882,6654.456654456653
0.06497319855559582,6788.766788766789
0.06622268314320343,6923.076923076923
0.06747216773081104,7057.387057387057
0.06872165231841865,7179.48717948718
0.06997113690602626,7301.587301587301
0.07122062149363387,7423.687423687424
0.07247010608124148,7545.787545787545
0.0737195906688491,7680.0976800976805
0.07496907525645671,7765.5677655677655
0.07621855984406432,7887.667887667887
0.07746804443167193,7997.557997557998
0.07871752901927954,8119.65811965812
0.07996701360688716,8205.128205128205
0.08121649819449477,8339.43833943834
0.08246598278210238,8461.538461538461
0.08371546736970999,8571.42857142857
0.0849649519573176,8742.368742368742
0.08621443654492521,8827.838827838827
0.08746392113253283,8998.778998778998
0.08871340572014044,9120.87912087912
0.08996289030774805,9242.979242979243
0.09121237489535566,9340.65934065934
0.09246185948296327,9474.969474969474
0.09371134407057088,9584.859584859585
0.0949608286581785,9731.379731379731
0.0962103132457861,9877.899877899878
0.09745979783339372,10000.0
0.09870928242100133,10122.100122100122
0.09995876700860894,10256.410256410256
0.10120825159621656,10366.300366300367
0.10245773618382417,10500.6105006105
0.10370722077143178,10598.290598290598
0.10495670535903939,10695.970695970696
0.106206189946647,10866.910866910865
0.10745567453425461,10952.380952380952
0.10870515912186222,11086.691086691086
0.10995464370946983,11172.161172161172
0.11120412829707745,11306.471306471307
0.11245361288468506,11416.361416361415
0.11370309747229268,11550.671550671548
0.11495258205990029,11648.35164835165
0.1162020666475079,11770.45177045177
0.11745155123511551,11880.34188034188
0.11870103582272312,12014.652014652014
0.11995052041033073,12161.17216117216
0.12120000499793834,12258.852258852261
0.12244948958554595,12405.372405372405
0.12369897417315356,12515.262515262515
0.12494845876076117,12612.942612942612
0.12619794334836879,12783.882783882782
0.1274474279359764,12930.402930402932
0.128696912523584,13015.873015873018
0.12994639711119163,13174.603174603173
0.13119588169879923,13308.913308913307
0.13244536628640685,13431.013431013429
0.13369485087401448,13553.113553113553
0.13494433546162207,13675.213675213676
0.1361938200492297,13785.103785103785
0.1374433046368373,13894.993894993893
0.13869278922444492,13968.253968253968
0.13994227381205251,14139.19413919414
0.14119175839966014,14273.504273504273
0.14244124298726774,14371.18437118437
0.14369072757487536,14468.864468864469
0.14494021216248296,14590.96459096459
0.14618969675009058,14676.434676434674
0.1474391813376982,14847.374847374847
0.1486886659253058,14957.264957264957
0.14993815051291343,15079.36507936508
0.15118763510052102,15189.255189255187
0.15243711968812865,15335.775335775337
0.15368660427573624,15470.08547008547
0.15493608886334387,15592.185592185593
0.15618557345095146,15702.075702075701
0.1574350580385591,15848.595848595847
0.15868454262616669,15946.275946275948
0.1599340272137743,16080.586080586081
0.16118351180138193,16202.686202686202
0.16243299638898953,16336.996336996335
0.16368248097659716,16483.516483516483
0.16493196556420475,16605.616605616608
0.16618145015181238,16739.92673992674
0.16743093473941997,16862.02686202686
0.1686804193270276,16959.70695970696
0.1699299039146352,17057.387057387055
0.17117938850224282,17179.48717948718
0.17242887308985042,17289.37728937729
0.17367835767745804,17435.897435897437
0.17492784226506566,17533.577533577532
0.17617732685267326,17655.677655677653
0.17742681144028088,17753.35775335775
0.17867629602788848,17863.247863247863
0.1799257806154961,18021.978021978022
0.1811752652031037,18131.86813186813
0.18242474979071133,18278.38827838828
0.18367423437831892,18388.278388278388
0.18492371896592655,18485.958485958487
0.18617320355353414,18644.688644688646
0.18742268814114177,18766.788766788766
0.1886721727287494,18876.678876678878
0.189921657316357,19035.409035409033
0.19117114190396461,19120.879120879123
